name,salary_from,salary_to,currency,city,link,discription
персональный водитель,120000,,RUR,Москва,https://hh.ru/vacancy/111435673,Своевременная подача автомобиля. Безопасное управление автомобилем. Составление оптимального маршрута. Выполнение поручений руководителя в течение дня. Поддержание автомобиля в чистом и...
водитель,60000,80000,RUR,Омск,https://hh.ru/vacancy/111373131,"Доставка сотрудников, проживающих в городе, на работу в КЗО ""Сказка"" и обратно (до трех рейсов в день), перевозка детей на..."
водитель,1500,3000,BYR,Минск,https://hh.ru/vacancy/111433317,"Доставка товара клиентам. Контроль оформления документов покупателем. Работа с документацией по перевозкам (путевые листы, ТН, ТТН). Контроль принимаемого и передаваемого..."
персональный водитель руководителя,140000,,RUR,Москва,https://hh.ru/vacancy/111358889,Работа с первым лицом. -Своевременная подача автомобиля. -Планирование оптимальных маршрутов. -Обеспечение безопасного и комфортного передвижения. -Поддержание чистоты автомобиля. -
водитель,250000,300000,KZT,Павлодар,https://hh.ru/vacancy/111518050,Ищем <highlighttext>водителя</highlighttext> для работы на двух автомобилях: Соболь Газель (доставка товаров) и Toyota Camry 70 (выполнение личных поручений руководителя и...
водитель на легковую машину,240000,280000,KZT,Алматы,https://hh.ru/vacancy/111224993,Ездить по поручениям руководителя. Доставка документы.
личный водитель,100000,200000,KZT,Алматы,https://hh.ru/vacancy/111537915,
водитель,600000,,KZT,Алматы,https://hh.ru/vacancy/109261998,"отгрузка/загрузка продукции с пандуса, совместно с экспедитором в 7-30 утра. - сборка продукции по заказу внутри авто. - "
персональный водитель руководителя,130000,150000,RUR,Москва,https://hh.ru/vacancy/111340194,"Своевременная подача автомобиля (Mercedes S-Class). Обеспечение безопасного передвижения руководителя по рабочим и личным делам. Содержание автомобиля в чистоте, поддержание..."
водитель-экспедитор категории в,5250,,BYR,Гродно,https://hh.ru/vacancy/111597660,"Приёмка товара по ассортименту и количеству, погрузка товара в фургон и развоз товара. Работа по программе через смартфон. "
персональный водитель,90000,,RUR,Москва,https://hh.ru/vacancy/111523553,Своевременная подача автомобиля и доставка руководителя до мест назначения. Выполнение поручений руководителя. Умение оперативно выбирать оптимальные маршруты. Сохранение конфиденциальности полученной...
водитель,2100,2500,BYR,Витебск,https://hh.ru/vacancy/109054612,
водитель,250000,325000,KZT,Астана,https://hh.ru/vacancy/111240286,"Исключение употребления любых лекарств, препаратов, продуктов и жидкостей, способных повлиять на работоспособность <highlighttext>водителя</highlighttext>, концентрацию внимания, координацию движений и реакцию. "
водитель,80000,100000,RUR,Тамбов,https://hh.ru/vacancy/111324079,"Перевозка грузов между городами. Поддержание автомобиля в технически исправном состоянии. Контроль загрузки и выгрузки товара, участие в процессе при необходимости. "
водитель,70000,,RUR,Ярославль,https://hh.ru/vacancy/111331267,Доставка и перемещение груза между площадками. Погрузка и разгрузка груза. Заполнение и ведение транспортного листа. Прохождение межрейсового осмотра.
водитель-экспедитор (город),80000,90000,RUR,Красноярск,https://hh.ru/vacancy/111458054,Доставка товара по торговым точкам на служебном автомобиле. Работа с сопроводительной документацией. Следить за техническим состоянием автомобиля.
персональный водитель руководителя,,130000,RUR,Москва,https://hh.ru/vacancy/111524259,"Персональный <highlighttext>водитель</highlighttext>. Поездки с руководителем компании по его маршрутам, выезд на объекты компании в области. Выполнение мелких поручений."
водитель на служебный автомобиль,50000,80000,RUR,Красноярск,https://hh.ru/vacancy/111370450,Перевозка по городу и пригороду сотрудника организации. Поддержание автомобиля в технически исправном состоянии.
водитель погрузчика,113400,,RUR,Санкт-Петербург,https://hh.ru/vacancy/111554939,"Управление погрузчиком и ручным грузоподъемником для перемещения грузов. Перемещение сырья, материалов и готовой продукции на/с территории склада и производственной..."
водитель персональный,55000,,RUR,Пенза,https://hh.ru/vacancy/111506586,Выполнение личных поручений руководителя. Контроль содержания автомобиля в чистоте и технически исправном состоянии.
водитель категории в,90000,,RUR,Кингисепп,https://hh.ru/vacancy/111485335,"Выполнение плановых заданий по доставке документации, грузов и пассажиров (развозка персонала Объект Усть-Луга г. Кингисепп). Своевременное оформление установленных форм..."
водитель-охранник (личный/персональный водитель/водитель автомобиля сопровождения),180000,220000,RUR,Москва,https://hh.ru/vacancy/111558355,"Комплексное обеспечение безопасности клиента. Предупреждение, обнаружение, пресечение угроз безопасности. Планирование оптимального маршрута движения. Подготовка автомобиля к поездке, содержание автомобиля в..."
"водитель-экспедитор категории ""в""",80000,,RUR,Тверь,https://hh.ru/vacancy/111561654,"Компания «Веста» крупнейший дистрибьютор на территории Тверской области продуктов питания, кондитерских товаров, бакалеи, кормов для животных, напитков. (ТМ «Мултон Партнерс..."
